KOR,RUS
답변 완료,Ответ дан
답변 요청,Запросить ответ
답변 확인,Подтвердить ответ
답변,Ответ
대기 중,В ожидании
대면 상담,Очная консультация
대상자 등록,Регистрация получателя
대상자 변경,Изменение получателя
대상자 삭제,Удаление получателя
대상자 확인,Проверка получателя
대중교통 경로,Маршрут на общественном транспорте
대중교통,Общественный транспорт
대표 이메일,Основной адрес электронной почты
더 보기, Показать ещё
데이터 가져오기,Импортировать данные
데이터 내보내기,Экспортировать данные
데이터 내역,История данных
데이터 동기화 설정,Настройка синхронизации данных
데이터 동기화,Синхронизировать данные
데이터 백업,Резервное копирование данных
데이터 보관,Архивировать данные
데이터 복구,Восстановить данные
데이터 분석,Анализ данных
데이터 사용 거부,Отказ от использования данных
데이터 사용 동의,Согласие на использование данных
데이터 사용량,Использование данных
데이터 삭제,Удалить данные
데이터 저장,Сохранить данные
데이터 전송,Отправить данные
도로 상황,Состояние дороги
도보 경로,Маршрут для пеших прогулок
도보 길찾기,Маршрут для пешеходов
도서 검색,Поиск книг
도서 대출,Выдача книг
도서 반납,Возврат книг
도서관,Библиотека
도움말,Справка
도착 시간 설정,Установить время прибытия
도착 알림 끄기,Выключить уведомления о прибытии
도착 알림 켜기,Включить уведомления о прибытии
도착 알림,Уведомление о прибытии
도착지 저장,Сохранить пункт назначения
도착지,Место назначения
동아리 활동,Деятельность клубов
동의,Согласен
등록금 납부,Оплата за обучение
라이트 모드,Светлый режим
로그 기록 보기,Просмотреть журнал
로그 기록,Журнал
로그아웃 알림,Уведомления о выходе
로그아웃,Выйти
로그인 세션,Сеанс входа
로그인 알림,Уведомления о входе
로그인 유지,Оставаться в системе
로그인,Войти
링크 복사,Скопировать ссылку
링크 열기,Открыть ссылку
마이페이지,Моя страница
메뉴, Меню
메시지 수신,Получить сообщение
메시지 작성,Написать сообщение
메시지 전송,Отправить сообщение
메인 페이지, Главная страница
멘토링 프로그램,Программа наставничества
목록,Список
목적지 검색,Поиск пункта назначения
목적지 변경,Изменить пункт назначения
목적지 알림 설정,Настройка уведомлений о пункте назначения
목적지 저장,Сохранить пункт назначения
목적지,Пункт назначения
무료 도로 우선,Маршрут без платных дорог
문서 갱신,Обновить документ
문서 검색,Поиск документа
문서 공유 중,Документ в процессе обмена
문서 공유,Поделиться документом
문서 다운로드,Скачать документ
문서 등록,Регистрация документа
문서 만료,Срок действия документа истёк
문서 목록,Список документов
문서 반려 사유,Причина отклонения документа
문서 반려,Отклонить документ
문서 발급 내역,История выдачи документов
문서 발급 상태 확인,Проверить статус выдачи документа
문서 발급 상태,Статус выдачи документа
문서 발급 신청,Запросить выдачу документа
문서 발급 요청,Запрос на выдачу документа
문서 발송,Отправить документ
문서 보관,Архивировать документ
문서 보기,Просмотр документа
문서 보완 완료,Доработка документа завершена
문서 보완 요청,Запрос на доработку документа
문서 복사,Копировать документ
문서 삭제,Удалить документ
문서 상태 변경,Изменить статус документа
문서 상태,Статус документа
문서 수신,Получить документ
문서 수정 완료,Редактирование документа завершено
문서 수정 요청,Запросить редактирование документа
문서 수정,Редактировать документ
문서 승인 완료,Одобрение документа завершено
문서 승인 요청,Запросить одобрение документа
문서 승인,Одобрить документ
문서 업로드,Загрузить документ
문서 열람,Просмотр документа
문서 인쇄,Печать документа
문의 내용,Содержание запроса
문의 등록,Зарегистрировать запрос
문의 번호 확인,Проверить номер запроса
문의 번호,Номер запроса
문의 수정 완료,Редактирование запроса завершено
문의 수정 요청,Запросить редактирование запроса
문의 완료,Запрос обработан
문의 유형,Тип запроса
문의 이력,История запросов
문의 접수,Отправить запрос
문의 접수,Принять запрос
문의 처리,Обработка запроса
문의하기,Связаться с нами
미디어 다운로드,Скачать медиа
미디어 업로드,Загрузить медиа
민원 상세정보,Подробная информация о заявлении
민원 신청,Подать заявление
민원 완료 알림,Уведомление о завершении заявления
민원 유형 선택,Выбор типа заявления
민원 접수,Принять заявление
민원 접수증,Квитанция о приёме
민원 조회,Проверить заявление
민원 진행 상황,Ход рассмотрения заявления
민원 처리 담당자,Ответственный за обработку
민원 처리 절차,Процесс обработки заявления
민원 처리 현황,Статус заявления
반려 일자,Дата отклонения
반려,Отклонить
받은 메시지,Входящие
발급 신청,Подать запрос на выдачу
발급 완료 알림,Уведомление о выдаче
발급 완료,Выдача завершена
발급 요청,Запросить выдачу
발급 중,В процессе выдачи
발급,Выдать
방문 시간,Время посещения
방문 예약 취소,Отменить запись
방문 예약 확인,Подтверждение записи
방문 예약,Запись на приём
방문 일자,Дата посещения
방문 접수,Личное обращение
배경화면 변경,Сменить обои
백업,Резервное копирование
버전 업데이트,Обновление версии
보관함 추가,Добавить в архив
보관함 해제,Удалить из архива
보관함,Архив
보낸 메시지,Отправленные
보안 경고 알림,Уведомление о проблеме безопасности
보안 경고,Предупреждение безопасности
보안 설정,Настройки безопасности
보안 업데이트,Обновление безопасности
보안 인증,Безопасная аутентификация
보안 코드 입력,Введите код безопасности
보완 요청,Запросить уточнение
보완 제출,Отправить уточнение
복사,Копировать
복원,Восстановить
복학 신청,Заявка на восстановление
본인 인증,Идентификация личности
본인 확인,Подтверждение личности
볼륨 조절,Регулировка громкости
봉사 활동,Волонтёрская деятельность
붙여넣기,Вставить
비공개,Приватно
비밀번호 생성,Создать пароль
비밀번호 숨기기,Скрыть пароль
비밀번호 입력,Введите пароль
비밀번호 재설정,Сбросить пароль
비밀번호 저장,Сохранить пароль
비밀번호 표시,Показать пароль
비밀번호 확인,Проверить пароль
비용 우선,Приоритет стоимости
비활성화,Деактивировать
빠른 경로,Быстрый маршрут
사고 정보,Информация об авариях
사용자 등록,Регистрация пользователя
사용자 삭제,Удаление пользователя
사용자 안내,Руководство пользователя
사용자 인증,Аутентификация пользователя
사용자 정보,Информация о пользователе
사이트 개인정보 처리방침,Политика конфиденциальности сайта
사이트 운영 정책,Политика использования сайта
사이트맵,Карта сайта
사진 삭제,Удалить фото
사진 업로드,Загрузить фото
삭제,Удалить
삭제,Удалить
상담 내역,История консультаций
상담 시간,Время консультации
상담 신청,Подать заявку на консультацию
상담 예약 현황,Статус записи на консультацию
상담 예약,Записаться на консультацию
상담 완료 확인,Подтвердить завершение консультации
상담 완료,Консультация завершена
상담 일자,Дата консультации
상담 진행,В процессе консультации
새 메시지,Новое сообщение
새 소식,Новости
새 알림,Новое уведомление
새 창 열기,Открыть в новом окне
새로 고침,Обновить страницу
새로운 경로 탐색,Поиск нового маршрута
새로운 기능,Новые возможности
새로운 알림,Новое уведомление
새로운 항목,Новый элемент
서류 검토,Проверить документы
서류 다운로드,Скачать документы
서류 업로드,Загрузить документы
서류 제출,Подать документы
서버 상태,Состояние сервера
서버 연결,Подключиться к серверу
서버 오류,Ошибка сервера
서버 요청,Запрос к серверу
서버 응답,Ответ сервера
서비스 만료,Срок действия услуги истёк
서비스 선택,Выбор услуги
서비스 시작,Начать услугу
서비스 신청,Подать заявку на услугу
서비스 업데이트,Обновление услуги
서비스 오류,Ошибка услуги
서비스 이용 방법,Как пользоваться услугой
서비스 이용 제한,Ограничения использования услуги
서비스 일시 중지,Приостановить услугу
서비스 임시 중단,Временное приостановление услуги
서비스 재개 알림,Уведомление о возобновлении услуги
서비스 재개,Возобновить услугу
서비스 재시작,Перезапустить услугу
서비스 접속 해제,Отключение от услуги
서비스 접속,Подключение к услуге
서비스 정상화,Восстановление работы услуги
서비스 종료,Завершить услугу
서비스 해지,Отмена услуги
설문조사,Опрос
설정 초기화,Сбросить настройки
설정,Настройки
성공,Успешно
성적 이의 신청,Оспорить оценку
성적 이의 처리,Рассмотрение апелляции
성적 정정,Исправление оценок
성적 증명서,Справка об успеваемости
성적 확인 요청,Запросить проверку оценок
성적 확인,Проверить оценки
세션 만료,Срок сеанса истёк
세션 시작,Начать сеанс
세션 유지,Сохранять сеанс
세션 종료,Завершить сеанс
소요 시간,Время в пути
수강 변경,Изменить курс
수강 신청,Запись на курс
수강 취소,Отменить курс
수수료 결제 확인,Подтверждение оплаты сбора
수수료 결제,Оплата сбора
수수료 납부,Уплата сбора
수수료 반환,Возврат сбора
수수료 안내,Информация о платеже
수업 공지,Объявления по курсу
수업 만족도 조사,Опрос удовлетворённости занятием
수업 변경,Изменить расписание
수업 시간표,Расписание занятий
수업 일정,Расписание занятий
수업 자료 다운로드,Скачать материалы занятий
수업 자료 보기,Просмотреть материалы занятий
수업 자료 업로드,Загрузить материалы занятий
수업 자료,Материалы занятий
수업 자료실,Архив учебных материалов
수업 참여,Участие в занятии
수업 출석부,Список посещаемости
수업 평가,Оценка занятия
수정 가능,Можно редактировать
수정,Изменить
승인 일자,Дата утверждения
승인,Одобрить
시간 선택,Выбрать время
시간 우선,Приоритет времени
시스템 상태,Состояние системы
시스템 알림,Системное уведомление
시스템 알림,Системные уведомления
시스템 점검 알림,Уведомление о техобслуживании
시스템 점검 일정,График технического обслуживания
시스템 점검,Техническое обслуживание
시작,Начать
시험 결과 확인,Проверить результаты экзамена
시험 결과,Результаты экзамена
시험 응시 신청,Подать заявку на участие в экзамене
시험 응시 자격,Право на сдачу экзамена
시험 응시,Участие в экзамене
시험 일정,Расписание экзаменов
시험 장소,Место проведения экзамена
신고,Пожаловаться
신고하기,Отправить жалобу
신입생 안내,Информация для первокурсников
신청 내역,История заявок
신청 절차 안내,Информация о порядке подачи
신청 취소,Отменить заявку
신청서 수정,Редактировать заявку
신청서 임시저장,Сохранить заявку как черновик
신청서 자동 저장,Автоматическое сохранение заявки
신청서 작성 방법,Как заполнить заявку
신청서 작성,Заполнить форму
신청서 제출,Отправить заявку
신청일,Дата подачи
실시간 교통,Информация о движении в реальном времени
실시간 위치 공유,Совместное использование местоположения
실패,Не удалось
심리 상담,Психологическая консультация
아니오,Нет
안 읽음,Непрочитано
안전 운전 경로,Безопасный маршрут
안전 운전 정보,Информация о безопасном вождении
알림 끄기,Отключить уведомления
알림 끄기,Отключить уведомления
알림 메시지,Уведомления
알림 메일,Почтовое уведомление
알림 문자,СМС-уведомление
알림 받기,Получать уведомления
알림 설정,Настройки уведомлений
알림 수신 거부,Не согласен получать уведомления
알림 수신 동의,Согласен получать уведомления
알림 켜기,Включить уведомления
알림 켜기,Включить уведомления
알림,Уведомления
알림음 끄기,Выключить звук уведомлений
알림음 설정,Настройка звуков уведомлений
압축 해제,Распаковать
압축,Архивировать
앱 권한,Разрешения приложения
앱 버전,Версия приложения
앱 설정,Настройки приложения
앱 업데이트,Обновление приложения
야간 모드,Ночной режим
언어 선택, Выбор языка
언어 선택,Выбрать язык
업데이트 알림,Уведомление об обновлении
업데이트 확인,Проверить обновление
업데이트,Обновить
업로드 링크,Ссылка для загрузки
업로드 완료,Загрузка завершена
업로드 완료,Загрузка завершена
업로드 요청,Запросить загрузку
업로드 중,В процессе загрузки
업로드 중,Загрузка…
업로드, Загрузить
연결 상태,Состояние соединения
연결 요청,Запросить подключение
연결 해제,Отключить
연결,Подключить
연구 과제,Научные проекты
연구 논문,Научные публикации
연구 성과,Результаты исследований
연구 지원,Поддержка исследований
연구 포털,Научный портал
연구 활동,Научная деятельность
연구비 신청,Подать заявку на финансирование
연구비 정산,Отчёт по использованию средств
연구비 집행,Исполнение исследовательского бюджета
연구실 소개,Информация о лаборатории
연구실 안전,Безопасность в лаборатории
연구실 출입,Вход в лабораторию
열람 완료,Просмотр завершён
열람 중,В процессе просмотра
열람하기,Просмотреть
예,Да
오류 코드,Код ошибки
오류,Ошибка
오프라인 수업,Очное обучение
온라인 강의실,Онлайн аудитория
온라인 상담,Онлайн консультация
온라인 수업 자료,Материалы онлайн-занятий
온라인 수업 참여,Участие в онлайн-занятиях
온라인 시험,Онлайн экзамен
온라인 접수,Онлайн обращение
온라인 출석,Онлайн посещаемость
완료,Готово
우편번호 찾기,Найти почтовый индекс
우회 경로,Объездной маршрут
원격 수업,Дистанционное обучение
위성 이미지 보기,Просмотр спутниковых снимков
위성 지도,Спутниковая карта
위치 갱신,Обновить местоположение
위치 공유 승인,Подтвердить совместное использование местоположения
위치 공유 요청,Запросить совместное использование местоположения
위치 공유 취소,Отменить совместное использование местоположения
위치 공유,Поделиться местоположением
위치 공유,Поделиться местоположением
위치 기록 가져오기,Импортировать историю местоположений
위치 기록 관리,Управление историей местоположений
위치 기록 내보내기,Экспортировать историю местоположений
위치 기록 보기,Просмотреть историю местоположений
위치 기록 삭제,Удалить историю местоположений
위치 기록 정리,Управлять историей местоположений
위치 동기화,Синхронизация местоположения
위치 맞춤,Подогнать местоположение
위치 북마크,Закладка местоположения
위치 서비스 비활성화,Отключить службу местоположения
위치 서비스 사용,Использование службы геолокации
위치 서비스 설정,Настройки службы геолокации
위치 서비스 활성화,Включить службу местоположения
위치 선택,Выбрать местоположение
위치 자동 갱신,Автоматическое обновление местоположения
위치 저장,Сохранить местоположение
위치 정보 거부,Отклонить передачу местоположения
위치 정보 동의,Согласиться с передачей местоположения
위치 정보 수집,Сбор данных о местоположении
위치 정보 요청,Запросить данные о местоположении
위치 정보 제공,Предоставить данные о местоположении
위치 정보,Данные о местоположении
위치 정확도,Точность местоположения
위치 즐겨찾기 관리,Управление избранными местоположениями
위치 즐겨찾기 삭제,Удалить местоположение из избранного
위치 즐겨찾기 추가,Добавить местоположение в избранное
위치 찾기,Найти местоположение
위치 추적 중지,Остановить отслеживание
위치 추적,Отслеживание местоположения
위치 탐색,Исследовать местоположение
위치 히스토리,История местоположения
유료 도로 포함,С платными дорогами
음성 안내 설정,Настройка голосового сопровождения
음성 안내 중지,Выключить голосовую навигацию
음성 안내,Голосовая навигация
이력 확인,Проверить историю
이메일 알림,Уведомления по электронной почте
이메일,Электронная почта
이벤트 등록,Регистрация на мероприятие
이벤트 안내,Информация о мероприятии
이벤트 참가,Участие в мероприятии
이용 가이드,Руководство пользователя
이용 기록,История использования
이용 약관, Условия использования
이용 약관,Условия использования
이용 제한 안내,Уведомление об ограничении использования
이용안내,Информация об услуге
이용약관,Условия использования
이전 경로,Предыдущий маршрут
이전,Назад
인쇄,Печать
인증 코드,Код подтверждения
인증번호 입력,Введите код подтверждения
인증서 발급,Выдать сертификат
인증서,Сертификат
인증하기,Подтвердить
인턴십 프로그램,Программа стажировок
읽기 전용,Только для чтения
읽음,Прочитано
임시 비밀번호,Временный пароль
임시저장 불러오기,Загрузить черновик
임시저장 완료,Черновик сохранён
임시저장 중,Сохраняется как черновик
임시저장,Сохранить черновик
입학 안내,Информация о поступлении
입학 전형 일정,Расписание приёмной кампании
자동 갱신,Автоматическое обновление
자동 로그인,Автоматический вход
자동 저장,Автоматическое сохранение
자동 제출,Автоматическая отправка
자동차 경로,Маршрут на автомобиле
자료 다운로드,Скачать материалы
자료 업로드,Загрузить материалы
자료 열람,Просмотреть материалы
자료 요청,Запросить материалы
자료실 검색,Поиск в архиве
자료실,Архив материалов
자전거 경로,Маршрут на велосипеде
자전거 길찾기,Маршрут для велосипедистов
자주 묻는 질문,Часто задаваемые вопросы
자퇴 신청,Заявка на отчисление
잠금 해제,Разблокировать
잠금,Заблокировать
장바구니, Корзина
장소 검색,Поиск места
장소 리뷰,Отзывы о месте
장소 사진,Фото места
장소 정보,Информация о месте
장소 즐겨찾기 삭제,Удалить место из избранного
장소 즐겨찾기 추가,Добавить место в избранное
장학금 수혜자,Получатели стипендий
장학금 신청,Подать заявку на стипендию
장학금 안내,Информация о стипендиях
장학금 지급 일정,График выплаты стипендий
재발급 요청,Запросить повторную выдачу
재발급 중,В процессе повторной выдачи
재발급,Повторная выдача
재시도,Повторить
재학 증명서,Справка о зачислении
저작권 안내,Информация об авторских правах
저장,Сохранить
저장된 장소,Сохранённые места
적용,Применить
전자 문서,Электронный документ
전자 민원,Электронные заявления
전자 서명,Электронная подпись
전자 자료실,Электронная библиотека
전자 제출,Электронная подача
전체 화면,Полноэкранный режим
전화 상담,Консультация по телефону
전화 접수,Приём по телефону
전화번호,Телефон
접근 권한 변경,Изменить права доступа
접근 권한,Права доступа
접근 차단,Ограничить доступ
접근 허용,Разрешить доступ
접속 차단,Доступ запрещён
접속 허용,Доступ разрешён
접수 내역,История приёма
접수 담당자,Ответственный за приём
접수 대기 중,В очереди на приём
접수 대기,В ожидании приёма
접수 번호,Номер приёма
접수 완료 알림,Уведомление о приёме
접수 완료 확인,Подтвердить приём
접수 완료,Приём завершён
접수 중,Приём в процессе
접수 취소 완료,Отмена приёма завершена
접수 취소 요청,Запросить отмену приёма
접수일,Дата приёма
정렬,Сортировка
정보 수정,Редактировать информацию
정보 제공 거부,Отказ от предоставления информации
정보 제공 동의,Согласие на предоставление информации
정보 확인 완료,Информация подтверждена
정보 확인 중,Проверка информации
정보 확인,Проверить информацию
제출, Отправить
졸업 신청,Заявка на выпуск
졸업 심사,Аттестация для выпуска
졸업 예정자,Кандидат на выпуск
졸업 요건 확인,Проверить требования к выпуску
졸업 요건,Требования для выпуска
졸업 증명서,Справка об окончании
졸업사정 결과,Результат аттестации для выпуска
종료,Завершить
주간 모드,Дневной режим
주문하기, Оформить заказ
주변 검색,Поиск поблизости
주변 장소 추천,Рекомендации близлежащих мест
주소 검색,Поиск адреса
주소 변경,Изменить адрес
주소 입력,Ввести адрес
주소 확인,Проверить адрес
주유소 찾기,Найти заправку
주차 시간 확인,Проверить время парковки
주차 요금 확인,Проверить стоимость парковки
주차 정보,Информация о парковке
주차장 알림,Уведомление о парковке
주차장 예약 취소,Отменить бронирование парковки
주차장 예약,Бронирование парковки
주차장 위치 공유,Поделиться местоположением парковки
주차장 위치 저장,Сохранить местоположение парковки
주차장 위치 찾기,Найти местоположение парковки
주차장 위치,Расположение парковки
주차장 정보 보기,Просмотр информации о парковке
주차장 정보,Информация о парковках
주차장 찾기,Найти парковку
중간 경유지,Промежуточный пункт
중단,Прервать
즐겨찾기 관리,Управление избранным
즐겨찾기 목록,Список избранного
즐겨찾기 제거,Удалить из избранного
즐겨찾기 추가,Добавить в избранное
즐겨찾기,Избранное
증명서,Справка
증빙 서류,Подтверждающие документы
증빙 자료 제출,Предоставить подтверждающие материалы
증빙 자료 확인,Проверить подтверждающие материалы
지도 공유,Поделиться картой
지도 다운로드 완료,Карта загружена
지도 다운로드 중,Загрузка карты…
지도 데이터 관리,Управление данными карты
지도 데이터 다운로드,Скачать данные карты
지도 데이터 로드,Загрузить данные карты
지도 데이터 삭제,Удалить данные карты
지도 데이터 업로드,Загрузить данные карты
지도 데이터 저장,Сохранить данные карты
지도 데이터 확인,Проверить данные карты
지도 데이터,Данные карты
지도 도움말,Справка по карте
지도 메모,Заметки к карте
지도 모양 선택,Выбрать форму карты
지도 방향 고정,Фиксация направления карты
지도 방향,Ориентация карты
지도 배경 변경,Сменить фон карты
지도 보기 모드,Режим просмотра карты
지도 보기 설정,Настройки отображения карты
지도 보기,Посмотреть карту
지도 새로고침,Обновить карту
지도 설정 불러오기,Загрузить настройки карты
지도 설정 저장,Сохранить настройки карты
지도 설정 초기화,Сбросить настройки карты
지도 설정,Настройки карты
지도 스크린샷 공유,Поделиться снимком карты
지도 스크린샷 저장,Сохранить снимок карты
지도 스크린샷,Снимок карты
지도 스타일 설정,Настройки стиля карты
지도 스타일,Стиль карты
지도 안내 음성,Голосовое сопровождение карты
지도 언어 설정,Настройка языка карты
지도 업데이트 알림,Уведомление об обновлении карты
지도 업데이트 중,Обновление карты…
지도 업데이트,Обновить карту
지도 오류 보고,Сообщить об ошибке карты
지도 오류 수정,Исправить ошибки карты
지도 오류 신고,Сообщить об ошибке карты
지도 위치 고정,Закрепить местоположение на карте
지도 위치 재설정,Сбросить положение карты
지도 유형,Тип карты
지도 음성 안내 시작,Начать голосовую навигацию
지도 음성 안내 중지,Выключить голосовую навигацию
지도 자동 맞춤,Автоматическая подгонка карты
지도 자동 회전,Автоматический поворот карты
지도 정보 공유,Поделиться информацией карты
지도 중심으로 이동,Переместить карту в центр
지도 즐겨찾기,Избранные карты
지도 초기 위치,Начальное положение карты
지도 초기화,Сбросить карту
지도 축소,Уменьшить карту
지도 탐색 경로,Маршрут просмотра карты
지도 탐색 기록,История просмотра карты
지도 탐색 완료,Просмотр карты завершён
지도 탐색 중,В процессе просмотра карты
지도 탐색,Навигация по карте
지도 테마,Тема карты
지도 해상도,Разрешение карты
지도 화면 저장,Сохранить снимок экрана карты
지도 화면 캡처,Сделать снимок экрана карты
지도 확대,Увеличить карту
지도 확대/축소 초기화,Сбросить масштаб карты
지도 확대/축소,Масштабирование карты
지도 회전,Поворот карты
지도,Карта
지도에서 검색,Поиск по карте
지형 정보 보기,Просмотр информации о рельефе
지형 지도,Топографическая карта
진행 중,В процессе
짧은 거리,Кратчайший путь
차단 해제,Разблокировать
차단,Заблокировать
차량 길찾기,Маршрут для автомобилей
창 닫기,Закрыть окно
찾아오는 길,Как добраться
채용 정보,Информация о вакансиях
처리 결과,Результат обработки
처리 기간,Срок обработки
처리 내역,История обработки
처리 대기,Ожидание обработки
처리 방법,Способ обработки
처리 부서,Отдел обработки
처리 예정일,Ожидаемая дата обработки
처리 완료 알림,Уведомление о завершении обработки
처리 완료,Обработка завершена
처리 중,В обработке
첨부파일 관리,Управление вложениями
첨부파일 다운로드,Скачать вложение
첨부파일 보기,Просмотреть вложение
첨부파일 삭제,Удалить вложение
첨부파일 업로드,Загрузить вложение
첨부파일 추가,Добавить вложение
초기화,Сбросить
초기화면,Начальный экран
초대 링크 공유,Поделиться ссылкой
초대 링크 복사,Скопировать ссылку
초대 링크,Ссылка для приглашения
초대 코드,Код приглашения
초대하기,Пригласить
최근 본 장소,Недавно просмотренные места
최단 거리,Самый короткий маршрут
최소 거리,Минимальное расстояние
최소 시간,Минимальное время
최소 요금,Минимальная стоимость
최적 경로 탐색,Поиск оптимального маршрута
최적 경로,Оптимальный маршрут
추천 경로,Рекомендованный маршрут
추천 경로,Рекомендуемый маршрут
추천 장소,Рекомендованные места
출결 기록,Журнал посещаемости
출결 점검,Проверка посещаемости
출결 현황,Отчёт о посещаемости
출발 시간 설정,Установить время отправления
출발 알림,Уведомление о выезде
출발지 변경,Изменить место отправления
출발지 저장,Сохранить отправную точку
출발지,Место отправления
출석 미인정,Посещение не признано
출석 상태,Статус посещаемости
출석 인정 완료,Признание посещаемости завершено
출석 인정 요청,Запросить признание посещаемости
출석 인정,Признание посещаемости
출석 확인,Проверка посещаемости
취소,Отмена
취업 정보,Информация о трудоустройстве
취업 지원,Поддержка трудоустройства
카트, Корзина
캠퍼스 뉴스,Новости кампуса
캠퍼스 생활,Жизнь на кампусе
캠퍼스 지도,Карта кампуса
캠퍼스 투어,Экскурсия по кампусу
코드 복사,Скопировать код
탐색 기록,История навигации
탭 닫기,Закрыть вкладку
탭 열기,Открыть вкладку
테마 변경,Изменить тему
팀 프로젝트,Командный проект
파일 공유,Поделиться файлом
파일 관리,Управление файлами
파일 다운로드 중,Скачивание файла
파일 복사,Копировать файл
파일 붙여넣기,Вставить файл
파일 삭제,Удалить файл
파일 선택,Выбрать файл
파일 숨기기,Скрыть файл
파일 업로드 중,Загрузка файла
파일 열기,Открыть файл
파일 이동,Переместить файл
파일 이름,Имя файла
파일 저장,Сохранить файл
파일 크기,Размер файла
파일 형식,Тип файла
팩스 접수,Приём по факсу
팩스번호,Факс
편의시설 정보,Информация об удобствах
편의시설 찾기,Поиск удобств
편의시설,Удобства
포털 공지,Объявления портала
포털 로그인,Вход в портал
포털 메시지,Сообщения портала
포털 이용 신청,Заявка на использование портала
포털 이용 안내,Информация о пользовании порталом
포털 이용 해지,Прекращение использования портала
폴더 닫기,Закрыть папку
폴더 만들기,Создать папку
